product_id,name,category,brand,price,rating,description,tags
1,Wireless Bluetooth Headphones,Electronics,Apple,319.05,3.2,High-performance electronic device with cutting-edge technology and premium build quality. Features advanced connectivity options and long battery life.,"wireless,bluetooth,audio,headphones,noise-cancelling"
2,Smartphone 128GB,Electronics,LG,868.78,2.8,High-performance electronic device with cutting-edge technology and premium build quality. Features advanced connectivity options and long battery life.,"smartphone,mobile,camera,4G,touch-screen"
3,4K Smart TV 55 inch,Electronics,Apple,3033.36,2.6,High-performance electronic device with cutting-edge technology and premium build quality. Features advanced connectivity options and long battery life.,"television,4K,smart-tv,HDMI,streaming"
4,Laptop 15.6 inch,Electronics,Apple,1248.46,3.8,High-performance electronic device with cutting-edge technology and premium build quality. Features advanced connectivity options and long battery life.,"laptop,portable,SSD,Intel,computing"
5,USB-C Fast Charger 65W,Electronics,Samsung,2892.98,4.3,High-performance electronic device with cutting-edge technology and premium build quality. Features advanced connectivity options and long battery life.,"charger,USB-C,fast-charging,portable"
6,Wireless Earbuds,Electronics,Dell,1257.11,4.0,High-performance electronic device with cutting-edge technology and premium build quality. Features advanced connectivity options and long battery life.,"earbuds,wireless,compact,bluetooth"
7,Mechanical Gaming Keyboard,Electronics,Samsung,3841.28,2.9,High-performance electronic device with cutting-edge technology and premium build quality. Features advanced connectivity options and long battery life.,"keyboard,gaming,mechanical,RGB,USB"
8,27 inch Monitor QHD,Electronics,Dell,1832.2,2.9,High-performance electronic device with cutting-edge technology and premium build quality. Features advanced connectivity options and long battery life.,"monitor,QHD,display,IPS,ergonomic"
9,Portable Power Bank 20000mAh,Electronics,Huawei,689.61,3.4,High-performance electronic device with cutting-edge technology and premium build quality. Features advanced connectivity options and long battery life.,"powerbank,charging,portable,backup"
10,Smart Watch Fitness Band,Electronics,Huawei,4266.97,4.0,High-performance electronic device with cutting-edge technology and premium build quality. Features advanced connectivity options and long battery life.,"smartwatch,fitness,health,GPS,waterproof"
11,Webcam 1080p HD,Electronics,Samsung,3701.71,3.8,High-performance electronic device with cutting-edge technology and premium build quality. Features advanced connectivity options and long battery life.,"webcam,HD,video-call,streaming,USB"
12,External SSD 1TB,Electronics,Dell,577.24,3.2,High-performance electronic device with cutting-edge technology and premium build quality. Features advanced connectivity options and long battery life.,"storage,SSD,portable,fast,backup"
13,Noise-Cancelling Earphones,Electronics,Huawei,2970.29,4.3,High-performance electronic device with cutting-edge technology and premium build quality. Features advanced connectivity options and long battery life.,"earphones,noise-cancelling,wired,audio"
14,Wireless Gaming Mouse,Electronics,Samsung,3373.06,4.4,High-performance electronic device with cutting-edge technology and premium build quality. Features advanced connectivity options and long battery life.,"mouse,gaming,wireless,ergonomic,DPI"
15,Tablet 10 inch,Electronics,Apple,4304.53,4.7,High-performance electronic device with cutting-edge technology and premium build quality. Features advanced connectivity options and long battery life.,"tablet,portable,touch,WiFi,display"
16,Digital Camera 24MP,Electronics,Dell,1533.27,4.1,High-performance electronic device with cutting-edge technology and premium build quality. Features advanced connectivity options and long battery life.,"camera,photography,digital,zoom,DSLR"
17,Smart Home Speaker,Electronics,Huawei,979.74,3.4,High-performance electronic device with cutting-edge technology and premium build quality. Features advanced connectivity options and long battery life.,"speaker,smart,voice-assistant,wifi,bluetooth"
18,Drone with 4K Camera,Electronics,Xiaomi,3567.74,4.2,High-performance electronic device with cutting-edge technology and premium build quality. Features advanced connectivity options and long battery life.,"drone,aerial,4K,photography,GPS"
19,Men's Slim Fit Jeans,Clothing,H&M,627.67,2.9,Stylish and comfortable garment made from premium fabric. Designed for everyday wear with a modern fit and durable construction.,"jeans,denim,slim-fit,casual,men"
20,Women's Summer Dress,Clothing,Adidas,204.23,3.4,Stylish and comfortable garment made from premium fabric. Designed for everyday wear with a modern fit and durable construction.,"dress,summer,floral,women,casual"
21,Hooded Sweatshirt Fleece,Clothing,Adidas,699.38,4.6,Stylish and comfortable garment made from premium fabric. Designed for everyday wear with a modern fit and durable construction.,"hoodie,sweatshirt,fleece,warm,casual"
22,Running Shorts,Clothing,Zara,266.6,2.6,Stylish and comfortable garment made from premium fabric. Designed for everyday wear with a modern fit and durable construction.,"shorts,running,sports,breathable,men"
23,Formal Business Shirt,Clothing,Gucci,430.11,2.7,Stylish and comfortable garment made from premium fabric. Designed for everyday wear with a modern fit and durable construction.,"shirt,formal,business,cotton,men"
24,Yoga Leggings,Clothing,Gucci,251.0,3.7,Stylish and comfortable garment made from premium fabric. Designed for everyday wear with a modern fit and durable construction.,"leggings,yoga,stretch,women,fitness"
25,Winter Jacket Puffer,Clothing,Gap,184.73,2.8,Stylish and comfortable garment made from premium fabric. Designed for everyday wear with a modern fit and durable construction.,"jacket,winter,puffer,warm,outdoor"
26,Casual Sneakers,Clothing,Levi's,758.66,3.6,Stylish and comfortable garment made from premium fabric. Designed for everyday wear with a modern fit and durable construction.,"sneakers,casual,shoes,comfortable,unisex"
27,Sports Bra,Clothing,Uniqlo,392.9,5.0,Stylish and comfortable garment made from premium fabric. Designed for everyday wear with a modern fit and durable construction.,"bra,sports,women,support,fitness"
28,Men's Polo Shirt,Clothing,Nike,533.05,2.7,Stylish and comfortable garment made from premium fabric. Designed for everyday wear with a modern fit and durable construction.,"polo,shirt,men,casual,cotton"
29,Denim Jacket,Clothing,Zara,867.05,2.9,Stylish and comfortable garment made from premium fabric. Designed for everyday wear with a modern fit and durable construction.,"jacket,denim,casual,men,streetwear"
30,Women's Blouse,Clothing,Nike,801.48,3.6,Stylish and comfortable garment made from premium fabric. Designed for everyday wear with a modern fit and durable construction.,"blouse,women,elegant,office,casual"
31,Track Suit Set,Clothing,H&M,414.53,4.0,Stylish and comfortable garment made from premium fabric. Designed for everyday wear with a modern fit and durable construction.,"tracksuit,jogging,men,sports,casual"
32,Ankle Boots Women,Clothing,Gap,551.66,4.9,Stylish and comfortable garment made from premium fabric. Designed for everyday wear with a modern fit and durable construction.,"boots,ankle,women,fashion,leather"
33,Men's Chino Trousers,Clothing,Zara,695.27,2.8,Stylish and comfortable garment made from premium fabric. Designed for everyday wear with a modern fit and durable construction.,"chinos,trousers,men,casual,slim"
34,Python Machine Learning,Books,Springer,231.74,4.4,Comprehensive and well-researched book offering in-depth knowledge. Written by an expert in the field with clear explanations and practical examples.,"python,machine-learning,AI,programming,data-science"
35,Deep Learning with TensorFlow,Books,Oxford,59.12,3.6,Comprehensive and well-researched book offering in-depth knowledge. Written by an expert in the field with clear explanations and practical examples.,"deep-learning,tensorflow,neural-networks,AI"
36,The Alchemist Novel,Books,Wiley,29.88,4.3,Comprehensive and well-researched book offering in-depth knowledge. Written by an expert in the field with clear explanations and practical examples.,"fiction,novel,philosophy,inspirational,adventure"
37,Atomic Habits,Books,Random House,100.12,3.8,Comprehensive and well-researched book offering in-depth knowledge. Written by an expert in the field with clear explanations and practical examples.,"self-help,productivity,habits,psychology,non-fiction"
38,Clean Code,Books,HarperCollins,166.07,2.8,Comprehensive and well-researched book offering in-depth knowledge. Written by an expert in the field with clear explanations and practical examples.,"programming,software,best-practices,engineering"
39,Data Structures & Algorithms,Books,Random House,109.58,4.1,Comprehensive and well-researched book offering in-depth knowledge. Written by an expert in the field with clear explanations and practical examples.,"algorithms,data-structures,CS,programming,interview"
40,The Art of War,Books,Springer,82.71,3.4,Comprehensive and well-researched book offering in-depth knowledge. Written by an expert in the field with clear explanations and practical examples.,"strategy,philosophy,classic,leadership,non-fiction"
41,Introduction to Psychology,Books,HarperCollins,174.63,4.4,Comprehensive and well-researched book offering in-depth knowledge. Written by an expert in the field with clear explanations and practical examples.,"psychology,textbook,science,education,human-behavior"
42,Sapiens: A Brief History,Books,Springer,276.99,4.0,Comprehensive and well-researched book offering in-depth knowledge. Written by an expert in the field with clear explanations and practical examples.,"history,anthropology,non-fiction,evolution,society"
43,The Great Gatsby,Books,Wiley,34.26,4.8,Comprehensive and well-researched book offering in-depth knowledge. Written by an expert in the field with clear explanations and practical examples.,"classic,fiction,american-literature,novel,1920s"
44,Introduction to Statistics,Books,Oxford,93.65,3.1,Comprehensive and well-researched book offering in-depth knowledge. Written by an expert in the field with clear explanations and practical examples.,"statistics,maths,data-analysis,education,textbook"
45,Rich Dad Poor Dad,Books,Springer,284.68,2.7,Comprehensive and well-researched book offering in-depth knowledge. Written by an expert in the field with clear explanations and practical examples.,"finance,money,investing,self-help,personal-finance"
46,1984 George Orwell,Books,Wiley,249.33,4.9,Comprehensive and well-researched book offering in-depth knowledge. Written by an expert in the field with clear explanations and practical examples.,"dystopia,fiction,classic,politics,novel"
47,JavaScript: The Good Parts,Books,Springer,235.78,2.8,Comprehensive and well-researched book offering in-depth knowledge. Written by an expert in the field with clear explanations and practical examples.,"javascript,programming,web-development,frontend"
48,Design Patterns,Books,Wiley,284.65,2.9,Comprehensive and well-researched book offering in-depth knowledge. Written by an expert in the field with clear explanations and practical examples.,"software-engineering,patterns,OOP,programming"
49,Cordless Vacuum Cleaner,Home,Electrolux,2190.29,3.6,Durable home product designed to enhance your daily life. Energy-efficient and easy to use with intuitive controls and reliable performance.,"vacuum,cleaning,cordless,home,suction"
50,Non-stick Cooking Pan Set,Home,Dyson,2326.97,4.4,Durable home product designed to enhance your daily life. Energy-efficient and easy to use with intuitive controls and reliable performance.,"cookware,non-stick,kitchen,cooking,pan"
51,Air Purifier HEPA,Home,KitchenAid,565.79,3.3,Durable home product designed to enhance your daily life. Energy-efficient and easy to use with intuitive controls and reliable performance.,"air-purifier,HEPA,clean-air,allergy,home"
52,Coffee Machine Espresso,Home,KitchenAid,1651.7,3.6,Durable home product designed to enhance your daily life. Energy-efficient and easy to use with intuitive controls and reliable performance.,"coffee,espresso,machine,kitchen,brew"
53,Robot Vacuum Cleaner,Home,Electrolux,1171.6,3.1,Durable home product designed to enhance your daily life. Energy-efficient and easy to use with intuitive controls and reliable performance.,"robot-vacuum,automatic,cleaning,smart,floor"
54,Blender 1000W,Home,IKEA,897.17,4.0,Durable home product designed to enhance your daily life. Energy-efficient and easy to use with intuitive controls and reliable performance.,"blender,kitchen,smoothie,cooking,powerful"
55,Bed Sheet Set 100% Cotton,Home,Dyson,1503.03,2.5,Durable home product designed to enhance your daily life. Energy-efficient and easy to use with intuitive controls and reliable performance.,"bedding,cotton,sheets,comfort,sleep"
56,LED Desk Lamp USB,Home,KitchenAid,1606.27,3.1,Durable home product designed to enhance your daily life. Energy-efficient and easy to use with intuitive controls and reliable performance.,"lamp,LED,desk,study,USB,adjustable"
57,Air Fryer 5L,Home,IKEA,2159.32,2.7,Durable home product designed to enhance your daily life. Energy-efficient and easy to use with intuitive controls and reliable performance.,"air-fryer,cooking,healthy,kitchen,fryer"
58,Shower Curtain Waterproof,Home,Dyson,752.91,3.7,Durable home product designed to enhance your daily life. Energy-efficient and easy to use with intuitive controls and reliable performance.,"bathroom,shower,curtain,waterproof,decor"
59,Bookshelf 5 Tier,Home,Electrolux,399.19,4.8,Durable home product designed to enhance your daily life. Energy-efficient and easy to use with intuitive controls and reliable performance.,"furniture,bookshelf,storage,wood,home"
60,Electric Kettle 1.7L,Home,Electrolux,1473.43,3.1,Durable home product designed to enhance your daily life. Energy-efficient and easy to use with intuitive controls and reliable performance.,"kettle,electric,boil,kitchen,tea"
61,Throw Pillow Set,Home,Bosch,2033.14,3.0,Durable home product designed to enhance your daily life. Energy-efficient and easy to use with intuitive controls and reliable performance.,"pillow,decor,home,soft,cushion"
62,Wall Clock Modern,Home,IKEA,1673.74,3.4,Durable home product designed to enhance your daily life. Energy-efficient and easy to use with intuitive controls and reliable performance.,"clock,wall,decor,modern,silent"
63,Storage Ottoman,Home,Bosch,1209.2,4.3,Durable home product designed to enhance your daily life. Energy-efficient and easy to use with intuitive controls and reliable performance.,"ottoman,storage,furniture,living-room,seat"
64,Yoga Mat Non-slip,Sports,New Balance,993.05,4.1,Professional-grade sports equipment built for performance and durability. Suitable for beginners and experienced athletes alike.,"yoga,mat,exercise,non-slip,fitness"
65,Dumbbells Set 20kg,Sports,Nike,626.83,3.3,Professional-grade sports equipment built for performance and durability. Suitable for beginners and experienced athletes alike.,"dumbbells,weights,strength,gym,fitness"
66,Jump Rope Speed,Sports,Nike,402.04,3.0,Professional-grade sports equipment built for performance and durability. Suitable for beginners and experienced athletes alike.,"jump-rope,cardio,speed,fitness,exercise"
67,Resistance Bands Set,Sports,Under Armour,243.67,3.0,Professional-grade sports equipment built for performance and durability. Suitable for beginners and experienced athletes alike.,"resistance-bands,workout,gym,strength,elastic"
68,Running Shoes,Sports,Under Armour,403.72,4.8,Professional-grade sports equipment built for performance and durability. Suitable for beginners and experienced athletes alike.,"running,shoes,footwear,sport,jogging"
69,Cycling Helmet,Sports,Under Armour,1218.71,4.6,Professional-grade sports equipment built for performance and durability. Suitable for beginners and experienced athletes alike.,"helmet,cycling,safety,bike,outdoor"
70,Swimming Goggles,Sports,Nike,112.86,5.0,Professional-grade sports equipment built for performance and durability. Suitable for beginners and experienced athletes alike.,"goggles,swimming,water,sport,anti-fog"
71,Protein Shaker Bottle,Sports,Nike,1453.73,4.8,Professional-grade sports equipment built for performance and durability. Suitable for beginners and experienced athletes alike.,"shaker,protein,gym,fitness,bottle"
72,Pull-up Bar Doorway,Sports,Adidas,281.81,3.7,Professional-grade sports equipment built for performance and durability. Suitable for beginners and experienced athletes alike.,"pull-up,bar,exercise,strength,gym"
73,Tennis Racket,Sports,Adidas,1301.39,4.8,Professional-grade sports equipment built for performance and durability. Suitable for beginners and experienced athletes alike.,"tennis,racket,sport,outdoor,beginner"
74,Football Official Size 5,Sports,Adidas,592.3,5.0,Professional-grade sports equipment built for performance and durability. Suitable for beginners and experienced athletes alike.,"football,soccer,sport,outdoor,official"
75,Basketball,Sports,Puma,1391.72,4.5,Professional-grade sports equipment built for performance and durability. Suitable for beginners and experienced athletes alike.,"basketball,sport,outdoor,official,game"
76,Gym Gloves Weightlifting,Sports,Puma,656.59,4.9,Professional-grade sports equipment built for performance and durability. Suitable for beginners and experienced athletes alike.,"gloves,gym,weightlifting,protection,grip"
77,Foam Roller Massage,Sports,Reebok,1005.33,3.7,Professional-grade sports equipment built for performance and durability. Suitable for beginners and experienced athletes alike.,"foam-roller,massage,recovery,muscle,fitness"
78,Boxing Gloves,Sports,Adidas,472.19,4.9,Professional-grade sports equipment built for performance and durability. Suitable for beginners and experienced athletes alike.,"boxing,gloves,martial-arts,training,sport"
79,Moisturizing Face Cream SPF30,Beauty,Dove,595.52,2.7,Premium beauty product formulated with high-quality ingredients. Dermatologically tested and suitable for daily use.,"moisturizer,SPF,face,skincare,hydration"
80,Hair Dryer 2000W,Beauty,Maybelline,73.02,4.0,Premium beauty product formulated with high-quality ingredients. Dermatologically tested and suitable for daily use.,"hair-dryer,styling,hair,blow-dry,professional"
81,Electric Shaver Men,Beauty,Dove,736.93,3.8,Premium beauty product formulated with high-quality ingredients. Dermatologically tested and suitable for daily use.,"shaver,electric,men,grooming,face"
82,Lipstick Matte Collection,Beauty,L'Oreal,768.8,2.7,Premium beauty product formulated with high-quality ingredients. Dermatologically tested and suitable for daily use.,"lipstick,matte,makeup,cosmetics,women"
83,Vitamin C Serum,Beauty,Nivea,81.76,2.7,Premium beauty product formulated with high-quality ingredients. Dermatologically tested and suitable for daily use.,"serum,vitamin-C,skincare,brightening,anti-aging"
84,Perfume Floral 100ml,Beauty,Nivea,339.91,4.9,Premium beauty product formulated with high-quality ingredients. Dermatologically tested and suitable for daily use.,"perfume,fragrance,floral,women,luxury"
85,Men's Cologne 75ml,Beauty,Dove,218.59,4.0,Premium beauty product formulated with high-quality ingredients. Dermatologically tested and suitable for daily use.,"cologne,fragrance,men,fresh,grooming"
86,Nail Polish Set,Beauty,Dove,92.13,4.1,Premium beauty product formulated with high-quality ingredients. Dermatologically tested and suitable for daily use.,"nail-polish,cosmetics,women,beauty,color"
87,Eye Shadow Palette,Beauty,Dove,431.54,4.8,Premium beauty product formulated with high-quality ingredients. Dermatologically tested and suitable for daily use.,"eyeshadow,makeup,palette,cosmetics,women"
88,Sunscreen SPF50,Beauty,Nivea,544.69,3.3,Premium beauty product formulated with high-quality ingredients. Dermatologically tested and suitable for daily use.,"sunscreen,SPF50,skincare,protection,daily"
89,Face Wash Gentle,Beauty,Maybelline,333.76,4.2,Premium beauty product formulated with high-quality ingredients. Dermatologically tested and suitable for daily use.,"face-wash,cleanser,skincare,gentle,daily"
90,Beard Oil,Beauty,Maybelline,381.06,4.8,Premium beauty product formulated with high-quality ingredients. Dermatologically tested and suitable for daily use.,"beard,oil,men,grooming,conditioning"
91,BB Cream Foundation,Beauty,L'Oreal,36.17,4.1,Premium beauty product formulated with high-quality ingredients. Dermatologically tested and suitable for daily use.,"foundation,BB-cream,makeup,coverage,skin"
92,Anti-Aging Night Cream,Beauty,Dove,795.99,2.7,Premium beauty product formulated with high-quality ingredients. Dermatologically tested and suitable for daily use.,"night-cream,anti-aging,skincare,retinol,moisturizer"
93,Hyaluronic Acid Serum,Beauty,Nivea,418.53,2.8,Premium beauty product formulated with high-quality ingredients. Dermatologically tested and suitable for daily use.,"serum,hyaluronic-acid,hydration,skincare,anti-aging"
94,Huawei Electronics Premium 94,Electronics,Huawei,890.71,3.6,High-performance electronic device with cutting-edge technology and premium build quality. Features advanced connectivity options and long battery life.,"premium,quality,popular"
95,Xiaomi Electronics Premium 95,Electronics,Xiaomi,73.08,4.5,High-performance electronic device with cutting-edge technology and premium build quality. Features advanced connectivity options and long battery life.,"new,sale,limited"
96,Xiaomi Electronics Premium 96,Electronics,Xiaomi,830.17,4.7,High-performance electronic device with cutting-edge technology and premium build quality. Features advanced connectivity options and long battery life.,"sale,premium,quality"
97,Sony Electronics Premium 97,Electronics,Sony,671.36,3.4,High-performance electronic device with cutting-edge technology and premium build quality. Features advanced connectivity options and long battery life.,"popular,limited,new"
98,Levi's Clothing Premium 98,Clothing,Levi's,2720.74,4.6,Stylish and comfortable garment made from premium fabric. Designed for everyday wear with a modern fit and durable construction.,"new,bestseller,popular"
99,H&M Clothing Premium 99,Clothing,H&M,180.06,3.3,Stylish and comfortable garment made from premium fabric. Designed for everyday wear with a modern fit and durable construction.,"sale,bestseller,popular"
100,Nike Clothing Premium 100,Clothing,Nike,2236.63,3.9,Stylish and comfortable garment made from premium fabric. Designed for everyday wear with a modern fit and durable construction.,"sale,popular,quality"
101,Uniqlo Clothing Premium 101,Clothing,Uniqlo,271.97,4.7,Stylish and comfortable garment made from premium fabric. Designed for everyday wear with a modern fit and durable construction.,"new,premium,sale"
102,HarperCollins Books Premium 102,Books,HarperCollins,1768.4,2.9,Comprehensive and well-researched book offering in-depth knowledge. Written by an expert in the field with clear explanations and practical examples.,"new,premium,popular"
103,HarperCollins Books Premium 103,Books,HarperCollins,2702.0,4.5,Comprehensive and well-researched book offering in-depth knowledge. Written by an expert in the field with clear explanations and practical examples.,"premium,popular,sale"
104,Penguin Books Premium 104,Books,Penguin,2017.45,3.4,Comprehensive and well-researched book offering in-depth knowledge. Written by an expert in the field with clear explanations and practical examples.,"popular,quality,sale"
105,Springer Books Premium 105,Books,Springer,2260.96,4.8,Comprehensive and well-researched book offering in-depth knowledge. Written by an expert in the field with clear explanations and practical examples.,"limited,bestseller,new"
106,Dyson Home Premium 106,Home,Dyson,2650.18,2.6,Durable home product designed to enhance your daily life. Energy-efficient and easy to use with intuitive controls and reliable performance.,"limited,quality,sale"
107,KitchenAid Home Premium 107,Home,KitchenAid,837.08,4.5,Durable home product designed to enhance your daily life. Energy-efficient and easy to use with intuitive controls and reliable performance.,"popular,bestseller,quality"
108,IKEA Home Premium 108,Home,IKEA,706.18,4.5,Durable home product designed to enhance your daily life. Energy-efficient and easy to use with intuitive controls and reliable performance.,"bestseller,premium,limited"
109,Bosch Home Premium 109,Home,Bosch,707.62,4.2,Durable home product designed to enhance your daily life. Energy-efficient and easy to use with intuitive controls and reliable performance.,"popular,limited,quality"
110,Under Armour Sports Premium 110,Sports,Under Armour,2902.32,3.2,Professional-grade sports equipment built for performance and durability. Suitable for beginners and experienced athletes alike.,"popular,limited,premium"
111,New Balance Sports Premium 111,Sports,New Balance,1026.89,2.6,Professional-grade sports equipment built for performance and durability. Suitable for beginners and experienced athletes alike.,"new,bestseller,limited"
112,Puma Sports Premium 112,Sports,Puma,162.86,4.0,Professional-grade sports equipment built for performance and durability. Suitable for beginners and experienced athletes alike.,"quality,new,popular"
113,Puma Sports Premium 113,Sports,Puma,1838.32,3.8,Professional-grade sports equipment built for performance and durability. Suitable for beginners and experienced athletes alike.,"sale,popular,bestseller"
114,MAC Beauty Premium 114,Beauty,MAC,180.94,3.6,Premium beauty product formulated with high-quality ingredients. Dermatologically tested and suitable for daily use.,"new,quality,popular"
115,Dove Beauty Premium 115,Beauty,Dove,1124.45,2.7,Premium beauty product formulated with high-quality ingredients. Dermatologically tested and suitable for daily use.,"limited,new,quality"
116,Neutrogena Beauty Premium 116,Beauty,Neutrogena,2006.99,2.8,Premium beauty product formulated with high-quality ingredients. Dermatologically tested and suitable for daily use.,"popular,new,limited"
117,Maybelline Beauty Premium 117,Beauty,Maybelline,1012.24,4.2,Premium beauty product formulated with high-quality ingredients. Dermatologically tested and suitable for daily use.,"new,popular,bestseller"
